name,sku,description,short_description,price,sale_price,stock,category,images,weight,length,width,height,tax_class,tags
"Laptop Gaming Pro X1","LAPTOP-001","<p>Laptop de alto desempenho para gaming e trabalho profissional. Equipado com processador Intel i9, 32GB RAM, RTX 4080, SSD 1TB NVMe.</p><p><strong>Características:</strong></p><ul><li>Processador Intel Core i9-13900HX</li><li>32GB DDR5 RAM</li><li>NVIDIA RTX 4080 12GB</li><li>Ecrã 17.3'' 4K 144Hz</li><li>SSD 1TB NVMe Gen4</li><li>Teclado RGB mecânico</li></ul>","Laptop gaming profissional com RTX 4080 e Intel i9","2499.99","2299.99","15","Informática;Laptops;Gaming","https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800;https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800","2.8","40","30","3","standard","gaming;laptop;intel;nvidia;high-performance"
"Mouse Wireless Ergonómico","MOUSE-001","<p>Mouse wireless ergonómico de precisão para trabalho prolongado sem fadiga.</p><p><strong>Características:</strong></p><ul><li>Sensor óptico 4000 DPI ajustável</li><li>6 botões programáveis</li><li>Bateria 60 dias autonomia</li><li>Conexão Bluetooth + USB receptor</li><li>Design ergonómico vertical</li></ul>","Mouse wireless ergonómico com sensor 4000 DPI","49.99","39.99","50","Informática;Periféricos;Ratos","https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800","0.15","12","8","10","standard","mouse;wireless;ergonomic;bluetooth"
"Teclado Mecânico RGB Pro","KEYBOARD-001","<p>Teclado mecânico profissional com switches mecânicos e iluminação RGB personalizável.</p><p><strong>Características:</strong></p><ul><li>Switches mecânicos Cherry MX Blue</li><li>Iluminação RGB por tecla (16.8M cores)</li><li>Teclas macro programáveis</li><li>USB-C destacável</li><li>Apoio para pulsos incluído</li><li>Layout PT-PT</li></ul>","Teclado mecânico RGB com Cherry MX Blue","129.99","109.99","30","Informática;Periféricos;Teclados","https://images.unsplash.com/photo-1595225476474-87563907a212?w=800","1.2","45","15","4","standard","keyboard;mechanical;rgb;gaming;cherry-mx"
"Monitor 4K UHD 32''","MONITOR-001","<p>Monitor profissional 4K de 32 polegadas com tecnologia IPS e HDR10.</p><p><strong>Características:</strong></p><ul><li>Resolução 3840x2160 (4K UHD)</li><li>Painel IPS 178°</li><li>HDR10 + 400 nits</li><li>Frequência 75Hz</li><li>Tempo resposta 4ms</li><li>Portas: 2x HDMI 2.0, 1x DisplayPort, 1x USB-C</li><li>Suporte VESA incluído</li></ul>","Monitor 4K 32'' IPS com HDR10 para profissionais","449.99","399.99","20","Informática;Monitores","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=800","6.5","75","22","50","standard","monitor;4k;uhd;ips;hdr10;professional"
"Webcam Full HD Pro","WEBCAM-001","<p>Webcam profissional Full HD 1080p com microfone estéreo integrado e foco automático.</p><p><strong>Características:</strong></p><ul><li>Resolução 1920x1080 @ 60fps</li><li>Sensor CMOS 2MP</li><li>Foco automático rápido</li><li>Microfone estéreo com redução ruído</li><li>Correção automática de luz</li><li>Montagem universal (monitor/tripé)</li></ul>","Webcam Full HD 1080p para videoconferências","79.99","69.99","40","Informática;Periféricos;Webcams","https://images.unsplash.com/photo-1594741158704-5a784b8e59fb?w=800","0.25","10","6","6","standard","webcam;hd;1080p;videoconference;streaming"
"Headset Gamer 7.1 Surround","HEADSET-001","<p>Headset gaming com som surround 7.1 virtual, microfone removível e iluminação RGB.</p><p><strong>Características:</strong></p><ul><li>Som surround 7.1 virtual</li><li>Drivers 50mm neodímio</li><li>Microfone removível com cancelamento ruído</li><li>Almofadas memory foam</li><li>Controlo volume no cabo</li><li>Iluminação RGB ajustável</li><li>Conexão USB + P2</li></ul>","Headset gaming 7.1 com RGB e microfone removível","89.99","74.99","35","Informática;Periféricos;Headsets;Gaming","https://images.unsplash.com/photo-1599669454699-248893623440?w=800","0.35","20","18","10","standard","headset;gaming;7.1;surround;rgb;microphone"
"SSD NVMe 1TB Gen4","SSD-001","<p>SSD NVMe M.2 de 1TB com velocidades extremas Gen4 para profissionais.</p><p><strong>Características:</strong></p><ul><li>Capacidade: 1TB (1000GB)</li><li>Interface: PCIe Gen4 x4 NVMe</li><li>Velocidade leitura: até 7000 MB/s</li><li>Velocidade escrita: até 5000 MB/s</li><li>IOPS: 1M leitura / 900K escrita</li><li>Garantia: 5 anos</li><li>TBW: 600TB</li></ul>","SSD NVMe 1TB Gen4 - Velocidades até 7000MB/s","149.99","129.99","25","Informática;Armazenamento;SSDs","https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=800","0.01","8","2","0.2","standard","ssd;nvme;gen4;storage;1tb;high-speed"
"Cadeira Gaming Ergonómica","CHAIR-001","<p>Cadeira gaming profissional com suporte lombar ajustável e materiais premium.</p><p><strong>Características:</strong></p><ul><li>Estrutura aço reforçado</li><li>Revestimento couro PU respirável</li><li>Almofadas lombares e cervicais</li><li>Braços 4D ajustáveis</li><li>Inclinação 90°-180°</li><li>Rodas silenciosas 60mm</li><li>Pistão gás classe 4</li><li>Suporta até 150kg</li></ul>","Cadeira gaming profissional com suporte lombar","299.99","269.99","12","Mobiliário;Cadeiras;Gaming","https://images.unsplash.com/photo-1598550476439-6847785fcea6?w=800","25","70","70","130","standard","chair;gaming;ergonomic;office;professional"
"Router Wi-Fi 6 Mesh Dual-Band","ROUTER-001","<p>Router Wi-Fi 6 (802.11ax) mesh de alto desempenho para cobertura total.</p><p><strong>Características:</strong></p><ul><li>Wi-Fi 6 (802.11ax) Dual-Band</li><li>Velocidade até 3000 Mbps</li><li>Cobertura até 300m²</li><li>4 antenas externas amplificadas</li><li>6 portas Gigabit Ethernet</li><li>1 porta WAN 2.5 Gbps</li><li>USB 3.0 para partilha</li><li>Controlo parental avançado</li></ul>","Router Wi-Fi 6 Mesh com velocidades até 3000 Mbps","179.99","159.99","18","Informática;Redes;Routers","https://images.unsplash.com/photo-1606904825846-647eb07f5be2?w=800","0.8","25","25","5","standard","router;wifi6;mesh;wireless;gigabit;network"
"Smartphone Pro 5G 256GB","PHONE-001","<p>Smartphone topo de gama com 5G, câmara tripla 108MP e ecrã AMOLED 6.7''.</p><p><strong>Características:</strong></p><ul><li>Ecrã AMOLED 6.7'' FHD+ 120Hz</li><li>Processador Snapdragon 8 Gen 2</li><li>12GB RAM + 256GB armazenamento</li><li>Câmara traseira tripla: 108MP+12MP+8MP</li><li>Câmara frontal 32MP</li><li>Bateria 5000mAh carregamento rápido 65W</li><li>5G + NFC + Dual SIM</li><li>Android 14</li></ul>","Smartphone 5G topo de gama com 108MP e 256GB","899.99","849.99","22","Telemóveis;Smartphones;5G","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800","0.21","16","7.5","0.9","standard","smartphone;5g;android;flagship;108mp;amoled"